2,0,1000,1,GDOP, 1246212000.0
TOW_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
324000000,-5610388.6686,10399.0898,3023652.1471,0.0056,3.0000,0.0000,-0.334,-180.000,0.000,4.449,2399.996,0.000,0.49712038552,3.13973911392,2.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00000047000,0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6686,10399.0898,3023652.1471,0.0056,3.0000,0.0000,-0.334,-180.000,0.000,0.49712038552,3.13973911392,2.0000,2.270
324001000,-5610388.6740,10396.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13973963082,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6740,10396.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13973963082,2.0000,2.270
324002000,-5610388.6795,10393.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974016554,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6795,10393.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974016554,2.0000,2.270
324003000,-5610388.6851,10390.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974070026,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6851,10390.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974070026,2.0000,2.270
324004000,-5610388.6907,10387.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974123499,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6907,10387.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974123499,2.0000,2.270
324005000,-5610388.6962,10384.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974176971,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.6962,10384.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974176971,2.0000,2.270
324006000,-5610388.7018,10381.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974230443,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7018,10381.1899,3023652.1471,-0.0056,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974230443,2.0000,2.270
324007000,-5610388.7073,10378.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974283915,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7073,10378.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974283915,2.0000,2.270
324008000,-5610388.7129,10375.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974337387,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7129,10375.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974337387,2.0000,2.270
324009000,-5610388.7184,10372.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974390859,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7184,10372.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974390859,2.0000,2.270
324010000,-5610388.7239,10369.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974444331,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7239,10369.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974444331,2.0000,2.270
324011000,-5610388.7295,10366.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974497804,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7295,10366.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974497804,2.0000,2.270
324012000,-5610388.7350,10363.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974551276,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7350,10363.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974551276,2.0000,2.270
324013000,-5610388.7406,10360.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974604748,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7406,10360.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974604748,2.0000,2.270
324014000,-5610388.7461,10357.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974658220,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7461,10357.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974658220,2.0000,2.270
324015000,-5610388.7517,10354.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974711692,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7517,10354.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974711692,2.0000,2.270
324016000,-5610388.7572,10351.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974765164,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7572,10351.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974765164,2.0000,2.270
324017000,-5610388.7627,10348.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974818636,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7627,10348.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974818636,2.0000,2.270
324018000,-5610388.7683,10345.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974872109,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7683,10345.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974872109,2.0000,2.270
324019000,-5610388.7738,10342.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974925581,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7738,10342.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974925581,2.0000,2.270
324020000,-5610388.7793,10339.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13974979053,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7793,10339.1899,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13974979053,2.0000,2.270
324021000,-5610388.7848,10336.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975032525,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7848,10336.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975032525,2.0000,2.270
324022000,-5610388.7904,10333.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975085997,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7904,10333.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975085997,2.0000,2.270
324023000,-5610388.7959,10330.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975139469,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.7959,10330.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975139469,2.0000,2.270
324024000,-5610388.8014,10327.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975192941,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8014,10327.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975192941,2.0000,2.271
324025000,-5610388.8069,10324.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975246413,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8069,10324.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975246413,2.0000,2.271
324026000,-5610388.8125,10321.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975299886,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8125,10321.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975299886,2.0000,2.271
324027000,-5610388.8180,10318.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975353358,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8180,10318.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975353358,2.0000,2.271
324028000,-5610388.8235,10315.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975406830,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8235,10315.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975406830,2.0000,2.271
324029000,-5610388.8290,10312.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975460302,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8290,10312.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975460302,2.0000,2.271
324030000,-5610388.8345,10309.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.13975513774,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610388.8345,10309.1900,3023652.1471,-0.0055,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.13975513774,2.0000,2.271
