2,0,1000,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
13000,4162662.6580,664473.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344204,0.15829150414,0.0017,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162662.6580,664473.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344204,0.15829150414,0.0017,2.360
14000,4162661.0820,664483.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344200,0.15829387641,0.0019,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162661.0820,664483.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344200,0.15829387641,0.0019,2.360
15000,4162659.5060,664492.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344196,0.15829624868,0.0021,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162659.5060,664492.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344196,0.15829624868,0.0021,2.360
16000,4162657.9300,664502.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344192,0.15829862095,0.0024,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162657.9300,664502.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344192,0.15829862095,0.0024,2.360
17000,4162656.3540,664512.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344187,0.15830099322,0.0026,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162656.3540,664512.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344187,0.15830099322,0.0026,2.360
18000,4162654.7780,664522.5250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344182,0.15830336548,0.0029,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162654.7780,664522.5250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344182,0.15830336548,0.0029,2.361
19000,4162653.2020,664532.4000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344177,0.15830573775,0.0032,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162653.2020,664532.4000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344177,0.15830573775,0.0032,2.361
20000,4162651.6260,664542.2750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344171,0.15830811002,0.0035,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162651.6260,664542.2750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344171,0.15830811002,0.0035,2.361
21000,4162650.0500,664552.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344166,0.15831048229,0.0038,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162650.0500,664552.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344166,0.15831048229,0.0038,2.361
22000,4162648.4740,664562.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344160,0.15831285455,0.0042,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162648.4740,664562.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344160,0.15831285455,0.0042,2.361
