Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
1000,11,GPS,16,16,0,16625582.9964,-4803550.0610,20084713.9104,2080.401,1517.112,-1304.979,-1.3698,1.1952,20487705.6140,20503635.7112,0.0000,0.0000,0.0000,0.0000,-111.2188,6.44799e-09,0,0,0,0,8.88782e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-3.0988,1.1952,-111.2198,0.0000,584.4588,0.0000,0.0000,0.0000,0.0000,-111.2769,0.0000,0.0000,0.0000,0.0000,-0.045889,-0.226217,-0.429626
1000,12,GPS,16,16,1,16625582.9964,-4803550.0610,20084713.9104,2080.401,1517.112,-1304.979,-1.3698,1.1952,20487705.6140,20503635.7112,0.0000,0.0000,0.0000,0.0000,-111.2188,6.44799e-09,0,0,0,0,8.88782e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,-3.0988,1.1952,-111.2198,0.0000,584.4588,0.0000,0.0000,0.0000,0.0000,-111.2769,0.0000,0.0000,0.0000,0.0000,-0.045889,-0.226217,-0.429626
1000,13,GPS,26,26,0,23012656.1983,1523130.4238,13307371.3063,1379.348,1001.527,-2478.624,-2.8958,1.1361,20710786.4583,20638206.8375,0.0000,0.0000,0.0000,0.0000,276.2964,7.03859e-09,0,0,0,0,9.11514e-09,0.0000,11.903,0.000,0.000,0.000,0.000,1.6584,1.1361,276.2991,0.0000,-1451.9471,0.0000,0.0000,0.0000,0.0000,276.2413,0.0000,0.0000,0.0000,0.0000,-0.217440,-0.225222,-0.281027
1000,14,GPS,26,26,1,23012656.1983,1523130.4238,13307371.3063,1379.348,1001.527,-2478.624,2.8958,1.1361,20710786.4583,20638216.9065,0.0000,0.0000,0.0000,0.0000,276.2993,7.03859e-09,0,0,0,0,9.11514e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,1.6584,1.1361,276.2991,0.0000,-1451.9624,0.0000,0.0000,0.0000,0.0000,276.2442,0.0000,0.0000,0.0000,0.0000,-0.217440,-0.225222,-0.281027
1000,15,GPS,20,20,0,21680324.0682,14100526.2939,6302231.4478,-884.162,7.484,2960.018,2.4831,0.6826,22130174.2496,21972560.3015,0.0000,0.0000,0.0000,0.0000,-495.2120,1.05891e-08,0,0,0,0,1.30813e-08,0.0000,11.327,0.000,0.000,0.000,0.000,0.7541,0.6826,-495.2107,0.0000,2602.3566,0.0000,0.0000,0.0000,0.0000,-495.2526,0.0000,0.0000,0.0000,0.0000,-0.341810,-0.094078,-0.133212
1000,16,GPS,20,20,1,21680324.0682,14100526.2939,6302231.4478,-884.162,7.484,2960.018,-2.4831,0.6826,22130174.2496,21972573.0522,0.0000,0.0000,0.0000,0.0000,-495.2145,1.05891e-08,0,0,0,0,1.30813e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,0.7541,0.6826,-495.2107,0.0000,2602.3697,0.0000,0.0000,0.0000,0.0000,-495.2551,0.0000,0.0000,0.0000,0.0000,-0.341810,-0.094078,-0.133212
2000,1,GPS,7,7,0,-9126423.7862,-12569611.7312,21831958.9282,2357.650,-1333.095,173.033,-0.4506,0.1103,25354106.5268,25371158.2761,0.0000,0.0000,0.0000,0.0000,-419.1513,1.4697e-08,0,0,0,0,6.94043e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.1796,0.1103,-419.1423,0.0000,2202.6548,0.0000,0.0000,0.0000,0.0000,-419.1844,0.0000,0.0000,0.0000,0.0000,-0.053881,-0.150273,-0.452382
2000,2,GPS,7,7,1,-9126423.7862,-12569611.7312,21831958.9282,2357.650,-1333.095,173.033,-0.4506,0.1103,25354106.5268,25371158.2761,0.0000,0.0000,0.0000,0.0000,-419.1513,1.4697e-08,0,0,0,0,6.94043e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-2.1796,0.1103,-419.1423,0.0000,2202.6548,0.0000,0.0000,0.0000,0.0000,-419.1844,0.0000,0.0000,0.0000,0.0000,-0.053881,-0.150273,-0.452382
2000,3,GPS,10,10,0,24095234.5895,10897863.2377,-3393079.1059,254.686,435.770,3129.517,2.8268,0.3382,23846923.5817,23848038.3659,0.0000,0.0000,0.0000,0.0000,-674.3783,1.75477e-08,0,0,0,0,2.46657e-08,0.0000,10.678,0.000,0.000,0.000,0.000,1.0978,0.3382,-674.3780,0.0000,3543.8817,0.0000,0.0000,0.0000,0.0000,-674.3870,0.0000,0.0000,0.0000,0.0000,-0.315112,-0.208409,0.071390
2000,4,GPS,10,10,1,24095234.5895,10897863.2377,-3393079.1059,254.686,435.770,3129.517,-2.8268,0.3382,23846923.5817,23848058.5209,0.0000,0.0000,0.0000,0.0000,-674.3796,1.75477e-08,0,0,0,0,2.46657e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,1.0978,0.3382,-674.3780,0.0000,3543.8885,0.0000,0.0000,0.0000,0.0000,-674.3883,0.0000,0.0000,0.0000,0.0000,-0.315112,-0.208409,0.071390
